GEOID,GEOCODE,STATE,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
9700000US5510680,5510680,55,,,10680,181105329,3693052,Niagara School District,Niagara School District,2454
9700000US5510710,5510710,55,,,10710,3191700,240579,Norris School District,Norris School District,63
9700000US5510740,5510740,55,,,10740,72727470,458304,North Fond du Lac School District,North Fond du Lac School District,8814
9700000US5510770,5510770,55,,,10770,402370266,439124,Norwalk-Ontario-Wilton School District,Norwalk-Ontario-Wilton School District,4369
9700000US5510830,5510830,55,,,10830,86240439,0,Oak Creek-Franklin School District,Oak Creek-Franklin School District,41359
9700000US5510860,5510860,55,,,10860,161693711,951606,Oakfield School District,Oakfield School District,3239
9700000US5510890,5510890,55,,,10890,287862063,22946578,Oconomowoc Area School District,Oconomowoc Area School District,37438
9700000US5510920,5510920,55,,,10920,255323927,1899902,Oconto School District,Oconto School District,7469
9700000US5510950,5510950,55,,,10950,466074665,7829590,Oconto Falls School District,Oconto Falls School District,11169
9700000US5510980,5510980,55,,,10980,235633339,7567875,Omro School District,Omro School District,8154
9700000US5511010,5511010,55,,,11010,34618794,2029314,Onalaska School District,Onalaska School District,18137
9700000US5511070,5511070,55,,,11070,103116862,638695,Oostburg School District,Oostburg School District,6228
9700000US5511100,5511100,55,,,11100,220163627,1704540,Oregon School District,Oregon School District,23352
9700000US5511130,5511130,55,,,11130,325846769,637541,Parkview School District,Parkview School District,6035
9700000US5511160,5511160,55,,,11160,278454339,14170278,Osceola School District,Osceola School District,9646
9700000US5511190,5511190,55,,,11190,256782069,2361748,Oshkosh Area School District,Oshkosh Area School District,80114
9700000US5511220,5511220,55,,,11220,756133988,1955445,Osseo-Fairchild School District,Osseo-Fairchild School District,5919
9700000US5511310,5511310,55,,,11310,405340403,3726850,Owen-Withee School District,Owen-Withee School District,4570
9700000US5511350,5511350,55,,,11350,207114466,2285727,Palmyra-Eagle Area School District,Palmyra-Eagle Area School District,7555
9700000US5511370,5511370,55,,,11370,230727836,7902744,Pardeeville Area School District,Pardeeville Area School District,6822
9700000US5511550,5511550,55,,,11550,567134600,7811101,Beecher-Dunbar-Pembine School District,Beecher-Dunbar-Pembine School District,2268
9700000US5511580,5511580,55,,,11580,203593044,35553777,Pepin Area School District,Pepin Area School District,1986
9700000US5511610,5511610,55,,,11610,217388878,3716953,Peshtigo School District,Peshtigo School District,6284
9700000US5511640,5511640,55,,,11640,35117045,5059189,Pewaukee School District,Pewaukee School District,18480
9700000US5511710,5511710,55,,,11710,241668488,38312625,Phelps School District,Phelps School District,1239
9700000US5511730,5511730,55,,,11730,1491492708,27695549,Phillips School District,Phillips School District,6047
9700000US5511790,5511790,55,,,11790,927445786,16033326,Pittsville School District,Pittsville School District,3698
9700000US5511820,5511820,55,,,11820,559499895,2504007,Tri-County Area School District,Tri-County Area School District,3938
9700000US5511850,5511850,55,,,11850,378464442,27874,Platteville School District,Platteville School District,15598
9700000US5511880,5511880,55,,,11880,212205371,665789,Plum City School District,Plum City School District,1745
9700000US5511940,5511940,55,,,11940,320776859,2779374,Plymouth School District,Plymouth School District,17369
9700000US5511970,5511970,55,,,11970,143745907,17721068,Port Edwards School District,Port Edwards School District,3716
9700000US5512000,5512000,55,,,12000,78541819,261492,Port Washington-Saukville School District,Port Washington-Saukville School District,17769
9700000US5512030,5512030,55,,,12030,751509793,2843698,South Shore School District,South Shore School District,1966
9700000US5512060,5512060,55,,,12060,524316843,33190530,Portage Community School District,Portage Community School District,17353
9700000US5512090,5512090,55,,,12090,166510710,37768747,Potosi School District,Potosi School District,2171
9700000US5512120,5512120,55,,,12120,243109610,5558761,Poynette School District,Poynette School District,6781
9700000US5512150,5512150,55,,,12150,220095952,19128815,Prairie du Chien Area School District,Prairie du Chien Area School District,8061
9700000US5512180,5512180,55,,,12180,230158868,575113,Prairie Farm School District,Prairie Farm School District,1944
9700000US5512210,5512210,55,,,12210,1075686221,9150555,Prentice School District,Prentice School District,2909
9700000US5512240,5512240,55,,,12240,184033268,9659313,Prescott School District,Prescott School District,8215
9700000US5512300,5512300,55,,,12300,226421700,7370102,Princeton School District,Princeton School District,3182
9700000US5512330,5512330,55,,,12330,476150026,422136,Pulaski Community School District,Pulaski Community School District,23609
9700000US5512360,5512360,55,,,12360,259542671,1705905,Racine School District,Racine School District,140198
9700000US5512420,5512420,55,,,12420,153367879,23924885,Randolph School District,Randolph School District,3256
9700000US5512450,5512450,55,,,12450,235419516,2072006,Random Lake School District,Random Lake School District,6058
9700000US5512540,5512540,55,,,12540,382256424,693661,Kickapoo Area School District,Kickapoo Area School District,3240
9700000US5512660,5512660,55,,,12660,614222652,7610962,Reedsburg School District,Reedsburg School District,17750
9700000US5512690,5512690,55,,,12690,287664547,1928091,Reedsville School District,Reedsville School District,4716
9700000US5512720,5512720,55,,,12720,945432429,75449028,Rhinelander School District,Rhinelander School District,21109
9700000US5512780,5512780,55,,,12780,723727625,9190158,Rib Lake School District,Rib Lake School District,3239
9700000US5512810,5512810,55,,,12810,577717827,35887537,Rice Lake Area School District,Rice Lake Area School District,16431
9700000US5512960,5512960,55,,,12960,677239995,1302493,Richland School District,Richland School District,10691
9700000US5512990,5512990,55,,,12990,194415629,3640090,Rio Community School District,Rio Community School District,3015
9700000US5513020,5513020,55,,,13020,262014163,10081255,Ripon Area School District,Ripon Area School District,10778
9700000US5513050,5513050,55,,,13050,369007416,2237613,River Falls School District,River Falls School District,24702
9700000US5513100,5513100,55,,,13100,339145392,3090340,Rosendale-Brandon School District,Rosendale-Brandon School District,5475
9700000US5513140,5513140,55,,,13140,395518928,5099832,Rosholt School District,Rosholt School District,3925
9700000US5513170,5513170,55,,,13170,403551195,3942296,D.C. Everest Area School District,D.C. Everest Area School District,35984
9700000US5513230,5513230,55,,,13230,372122199,14410210,St. Croix Falls School District,St. Croix Falls School District,7321
9700000US5513260,5513260,55,,,13260,6649955,0,St. Francis School District,St. Francis School District,9161
9700000US5513410,5513410,55,,,13410,574802431,21254955,Sauk Prairie School District,Sauk Prairie School District,16516
9700000US5513470,5513470,55,,,13470,284544752,19669552,Seneca School District,Seneca School District,1650
9700000US5513500,5513500,55,,,13500,301706217,378056770,Sevastopol School District,Sevastopol School District,5302
9700000US5513530,5513530,55,,,13530,433697620,516967,Seymour Community School District,Seymour Community School District,12849
9700000US5513620,5513620,55,,,13620,401913435,29073426,Shawano School District,Shawano School District,17217
9700000US5513650,5513650,55,,,13650,131321420,1067623,Sheboygan Area School District,Sheboygan Area School District,62772
9700000US5513680,5513680,55,,,13680,144942117,1416262,Sheboygan Falls School District,Sheboygan Falls School District,11924
9700000US5513710,5513710,55,,,13710,381042324,23138173,Shell Lake School District,Shell Lake School District,3689
9700000US5513770,5513770,55,,,13770,275243775,6182271,Shiocton School District,Shiocton School District,4245
9700000US5513800,5513800,55,,,13800,4117148,0,Shorewood School District,Shorewood School District,13859
9700000US5513830,5513830,55,,,13830,249775168,0,Shullsburg School District,Shullsburg School District,2036
9700000US5513890,5513890,55,,,13890,261459499,23960738,Siren School District,Siren School District,3239
9700000US5513950,5513950,55,,,13950,201494474,2994952,Slinger School District,Slinger School District,16628
9700000US5513980,5513980,55,,,13980,402492336,8697329,Solon Springs School District,Solon Springs School District,2281
9700000US5514010,5514010,55,,,14010,149562904,3932750,Somerset School District,Somerset School District,8562
9700000US5514040,5514040,55,,,14040,12505971,21035,South Milwaukee School District,South Milwaukee School District,20795
9700000US5514130,5514130,55,,,14130,508298141,356053734,Southern Door County School District,Southern Door County School District,8147
9700000US5514160,5514160,55,,,14160,734695205,1069113,Sparta Area School District,Sparta Area School District,18395
9700000US5514190,5514190,55,,,14190,209558266,713192,Spencer School District,Spencer School District,4407
9700000US5514220,5514220,55,,,14220,1271284280,81178290,Spooner Area School District,Spooner Area School District,10732
9700000US5514250,5514250,55,,,14250,748627562,19914685,River Valley School District,River Valley School District,9449
9700000US5514340,5514340,55,,,14340,284658707,2064031,Spring Valley School District,Spring Valley School District,4251
9700000US5514430,5514430,55,,,14430,477002822,4229026,Stanley-Boyd Area School District,Stanley-Boyd Area School District,7805
9700000US5514490,5514490,55,,,14490,951553082,43977625,Stevens Point Area School District,Stevens Point Area School District,56883
9700000US5514520,5514520,55,,,14520,70896328,141779,Stockbridge School District,Stockbridge School District,1750
9700000US5514550,5514550,55,,,14550,276731805,16022889,Stoughton Area School District,Stoughton Area School District,21239
9700000US5514580,5514580,55,,,14580,294547413,5316256,Stratford School District,Stratford School District,5105
