GEOID,GEOCODE,STATE,COUNTY,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,POP100
612U600US55017081,55017081,55,81,17,182503729,28194,Monroe,Monroe County (part),1880
612U600US55017103,55017103,55,103,17,1518120276,8153423,Richland,Richland County,17304
612U600US55017111,55017111,55,111,17,1198649946,16409500,Sauk,Sauk County (part),27007
612U600US55017123,55017123,55,123,17,92784558,41528,Vernon,Vernon County (part),923
612U600US55018027,55018027,55,27,18,6292151,0,Dodge,Dodge County (part),7795
612U600US55018039,55018039,55,39,18,979571227,108285308,Fond du Lac,Fond du Lac County (part),78500
612U600US55018139,55018139,55,139,18,583009336,229840324,Winnebago,Winnebago County (part),89543
612U600US55019087,55019087,55,87,19,284716174,1781078,Outagamie,Outagamie County (part),102286
612U600US55019139,55019139,55,139,19,542850434,142791392,Winnebago,Winnebago County (part),82187
612U600US55020015,55020015,55,15,20,183122819,46723039,Calumet,Calumet County (part),6058
612U600US55020039,55020039,55,39,20,604410152,9672472,Fond du Lac,Fond du Lac County (part),13505
612U600US55020089,55020089,55,89,20,422182480,2284707030,Ozaukee,Ozaukee County (part),46533
612U600US55020117,55020117,55,117,20,460825402,6083376,Sheboygan,Sheboygan County (part),8666
612U600US55020131,55020131,55,131,20,873322520,10384091,Washington,Washington County (part),101808
612U600US55021059,55021059,55,59,21,545345127,1244147115,Kenosha,Kenosha County (part),59972
612U600US55021101,55021101,55,101,21,728778679,1183150491,Racine,Racine County (part),118230
612U600US55021127,55021127,55,127,21,321436,0,Walworth,Walworth County (part),0
612U600US55022059,55022059,55,59,22,96808633,3707074,Kenosha,Kenosha County (part),105783
612U600US55022101,55022101,55,101,22,37220248,477045,Racine,Racine County (part),65336
612U600US55023005,55023005,55,5,23,696788,0,Barron,Barron County (part),25
612U600US55023017,55023017,55,17,23,2610749967,85233303,Chippewa,Chippewa County (part),66081
612U600US55023019,55023019,55,19,23,3043596997,22760859,Clark,Clark County (part),33819
612U600US55023033,55023033,55,33,23,1181913894,19141306,Dunn,Dunn County (part),16576
612U600US55023035,55023035,55,35,23,1044496532,9612784,Eau Claire,Eau Claire County (part),25011
612U600US55023053,55023053,55,53,23,186291646,20385,Jackson,Jackson County (part),1286
612U600US55023073,55023073,55,73,23,717112539,3658295,Marathon,Marathon County (part),16123
612U600US55023121,55023121,55,121,23,92847804,171276,Trempealeau,Trempealeau County (part),2651
612U600US55023141,55023141,55,141,23,308020257,484339,Wood,Wood County (part),17971
612U600US55024001,55024001,55,1,24,816365181,75841998,Adams,Adams County (part),7526
612U600US55024053,55024053,55,53,24,896062308,22704258,Jackson,Jackson County (part),1630
612U600US55024081,55024081,55,81,24,1149627702,18123660,Monroe,Monroe County (part),31926
612U600US55024097,55024097,55,97,24,2074252980,56835087,Portage,Portage County,70377
612U600US55024137,55024137,55,137,24,896426180,9267147,Waushara,Waushara County (part),12640
612U600US55024141,55024141,55,141,24,1603656897,41475404,Wood,Wood County (part),49712
612U600US55025003,55025003,55,3,25,2706458787,3230728318,Ashland,Ashland County,16027
612U600US55025005,55025005,55,5,25,2234584622,69194516,Barron,Barron County (part),46686
612U600US55025007,55025007,55,7,25,3827677060,1460300913,Bayfield,Bayfield County,16220
