GEOID,GEOCODE,STATE,COUNTY,COUSUB,CD116,SLDU18,SLDL18,VTD,AREALAND,AREAWATR,BASENAME,NAME,POP100
7100000US5504100209327600,5504100209327600,55,41,27600,,,,2093,87943222,5129429,Freedom,Freedom town,324
7100000US5504100209434650,5504100209434650,55,41,34650,,,,2094,342394416,24465756,Hiles,Hiles town,359
7100000US5504100209542500,5504100209542500,55,41,42500,,,,2095,104941509,4836635,Laona,Laona town (part),369
7100000US5504100209642500,5504100209642500,55,41,42500,,,,2096,80180820,3248787,Laona,Laona town (part),413
7100000US5504100209742500,5504100209742500,55,41,42500,,,,2097,82745676,2732322,Laona,Laona town (part),433
7100000US5504100209844375,5504100209844370,55,41,44375,,,,2098,50113184,11003796,Lincoln,Lincoln town (part),530
7100000US5504100209944375,5504100209944370,55,41,44375,,,,2099,57450122,1012598,Lincoln,Lincoln town (part),113
7100000US5504100210044375,5504100210044370,55,41,44375,,,,2100,43217727,470139,Lincoln,Lincoln town (part),490
7100000US5504100210155575,5504100210155570,55,41,55575,,,,2101,87807095,3153909,Nashville,Nashville town (part),392
7100000US5504100210255575,5504100210255570,55,41,55575,,,,2102,8171337,888166,Nashville,Nashville town (part),498
7100000US5504100210355575,5504100210355570,55,41,55575,,,,2103,78039150,9414165,Nashville,Nashville town (part),325
7100000US5504100210464050,5504100210464050,55,41,64050,,,,2104,130496626,1106843,Popple River,Popple River town,43
7100000US5504100210569625,5504100210569620,55,41,69625,,,,2105,99916787,250657,Ross,Ross town,132
7100000US5504100210683025,5504100210683020,55,41,83025,,,,2106,8644997,0,Wabeno,Wabeno town (part),383
7100000US5504100210783025,5504100210783020,55,41,83025,,,,2107,3399837,746501,Wabeno,Wabeno town (part),64
7100000US5504100210883025,5504100210883020,55,41,83025,,,,2108,182601164,1393779,Wabeno,Wabeno town (part),102
7100000US5504100210983025,5504100210983020,55,41,83025,,,,2109,81436873,106265,Wabeno,Wabeno town (part),438
7100000US5504100211083025,5504100211083020,55,41,83025,,,,2110,1979337,123910,Wabeno,Wabeno town (part),87
7100000US5504300211289250,5504300211289250,55,43,89250,,,,2112,102517868,7797830,Wyalusing,Wyalusing town,336
7100000US5504300211383900,5504300211383900,55,43,83900,,,,2113,98432013,17223530,Waterloo,Waterloo town,552
7100000US5504300211479250,5504300211479250,55,43,79250,,,,2114,1116393,0,Tennyson,Tennyson village,348
7100000US5504300211575075,5504300211575070,55,43,75075,,,,2115,34767415,0,South Lancaster,South Lancaster town (part),264
7100000US5504300211674450,5504300211674450,55,43,74450,,,,2116,13612648,0,Smelser,Smelser town (part),128
7100000US5504300211764625,5504300211764620,55,43,64625,,,,2117,22542,0,Potosi,Potosi village (part),1
7100000US5504300211764650,5504300211764650,55,43,64650,,,,2117,119338300,27199282,Potosi,Potosi town (part),813
7100000US5504300211864625,5504300211864620,55,43,64625,,,,2118,4274808,45173,Potosi,Potosi village (part),645
7100000US5504300211864650,5504300211864650,55,43,64650,,,,2118,1876,0,Potosi,Potosi town (part),0
7100000US5504300211963250,5504300211963250,55,43,63250,,,,2119,6244,0,Platteville,Platteville city (part),43
7100000US5504300211963275,5504300211963270,55,43,63275,,,,2119,31677039,0,Platteville,Platteville town (part),551
7100000US5504300212063250,5504300212063250,55,43,63250,,,,2120,6423438,0,Platteville,Platteville city (part),1881
7100000US5504300212063275,5504300212063270,55,43,63275,,,,2120,52886,0,Platteville,Platteville town (part),0
