GEOID,GEOCODE,STATE,COUNTY,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,POP100
622L600US55053139,55053139,55,139,53,533178614,152111864,Winnebago,Winnebago County (part),32132
622L600US55054139,55054139,55,139,54,49830722,77728460,Winnebago,Winnebago County (part),57411
622L600US55055087,55055087,55,87,55,47723785,45444,Outagamie,Outagamie County (part),15208
622L600US55055139,55055139,55,139,55,163682915,30241392,Winnebago,Winnebago County (part),46784
622L600US55056087,55056087,55,87,56,216665680,746547,Outagamie,Outagamie County (part),53368
622L600US55056139,55056139,55,139,56,360338093,107063493,Winnebago,Winnebago County (part),11176
622L600US55057087,55057087,55,87,57,20326709,989087,Outagamie,Outagamie County (part),33710
622L600US55057139,55057139,55,139,57,18829426,5486507,Winnebago,Winnebago County (part),24227
622L600US55058131,55058131,55,131,58,228029974,6540184,Washington,Washington County (part),59054
622L600US55059015,55059015,55,15,59,183122819,46723039,Calumet,Calumet County (part),6058
622L600US55059039,55059039,55,39,59,604410152,9672472,Fond du Lac,Fond du Lac County (part),13505
622L600US55059117,55059117,55,117,59,460825402,6083376,Sheboygan,Sheboygan County (part),8666
622L600US55059131,55059131,55,131,59,382302207,2650664,Washington,Washington County (part),29929
622L600US55060089,55060089,55,89,60,422182480,2284707030,Ozaukee,Ozaukee County (part),46533
622L600US55060131,55060131,55,131,60,262990339,1193243,Washington,Washington County (part),12825
622L600US55061059,55061059,55,59,61,545345127,1244147115,Kenosha,Kenosha County (part),59972
622L600US55062101,55062101,55,101,62,315100219,1176264398,Racine,Racine County (part),58422
622L600US55063101,55063101,55,101,63,413678460,6886093,Racine,Racine County (part),59808
622L600US55063127,55063127,55,127,63,321436,0,Walworth,Walworth County (part),0
622L600US55064059,55064059,55,59,64,71150110,240982,Kenosha,Kenosha County (part),48535
622L600US55064101,55064101,55,101,64,11164519,162394,Racine,Racine County (part),9310
622L600US55065059,55065059,55,59,65,25658523,3466092,Kenosha,Kenosha County (part),57248
622L600US55066101,55066101,55,101,66,26055729,314651,Racine,Racine County (part),56026
622L600US55067005,55067005,55,5,67,696788,0,Barron,Barron County (part),25
622L600US55067017,55067017,55,17,67,2209355304,71556921,Chippewa,Chippewa County (part),43912
622L600US55067033,55067033,55,33,67,1181913894,19141306,Dunn,Dunn County (part),16576
622L600US55068017,55068017,55,17,68,401394663,13676382,Chippewa,Chippewa County (part),22169
622L600US55068019,55068019,55,19,68,1288553365,11012776,Clark,Clark County (part),10779
622L600US55068035,55068035,55,35,68,1044496532,9612784,Eau Claire,Eau Claire County (part),25011
622L600US55068053,55068053,55,53,68,186291646,20385,Jackson,Jackson County (part),1286
622L600US55068121,55068121,55,121,68,92847804,171276,Trempealeau,Trempealeau County (part),2651
622L600US55069019,55069019,55,19,69,1755043632,11748083,Clark,Clark County (part),23040
622L600US55069073,55069073,55,73,69,717112539,3658295,Marathon,Marathon County (part),16123
622L600US55069141,55069141,55,141,69,308020257,484339,Wood,Wood County (part),17971
622L600US55070053,55070053,55,53,70,896062308,22704258,Jackson,Jackson County (part),1630
622L600US55070081,55070081,55,81,70,1149627702,18123660,Monroe,Monroe County (part),31926
622L600US55070097,55070097,55,97,70,469917013,28379222,Portage,Portage County (part),9122
622L600US55070141,55070141,55,141,70,1360067112,26927940,Wood,Wood County (part),15598
622L600US55071097,55071097,55,97,71,1255252942,26486454,Portage,Portage County (part),57866
622L600US55072001,55072001,55,1,72,816365181,75841998,Adams,Adams County (part),7526
622L600US55072097,55072097,55,97,72,349083025,1969411,Portage,Portage County (part),3389
622L600US55072137,55072137,55,137,72,896426180,9267147,Waushara,Waushara County (part),12640
622L600US55072141,55072141,55,141,72,243589785,14547464,Wood,Wood County (part),34114
622L600US55073013,55073013,55,13,73,1072915173,102430958,Burnett,Burnett County (part),6438
